1/2/2015,NULL
1/3/2015,NULL
1/4/2015,NULL
1/5/2015,NULL
1/6/2015,NULL
1/7/2015,NULL
1/8/2015,NULL
1/9/2015,NULL
1/10/2015,NULL
1/11/2015,NULL
1/12/2015,NULL
1/13/2015,NULL
1/14/2015,NULL
1/15/2015,NULL
1/16/2015,NULL
1/17/2015,NULL
1/18/2015,NULL
1/19/2015,NULL
1/20/2015,NULL
1/21/2015,NULL
1/22/2015,"Deep Valley, Undulating Mountain"
1/23/2015,"Deep Valley, Undulating Mountain"
1/24/2015,"Deep Valley, Undulating Mountain"
1/25/2015,"Deep Valley, Gradual Mountain"
1/26/2015,NULL
1/27/2015,"Deep Valley, Undulating Mountain"
1/28/2015,"Deep Valley, Undulating Mountain"
1/29/2015,NULL
1/30/2015,NULL
1/31/2015,NULL
2/1/2015,NULL
2/2/2015,Flash sale
2/3/2015,"Deep Valley, Undulating Mountain"
2/4/2015,"Deep Valley, Undulating Mountain"
2/5/2015,NULL
2/6/2015,"Deep Valley, Undulating Mountain"
2/7/2015,"Deep Valley, Gradual Mountain"
2/8/2015,"Shallow Valley, Gradual Mountain"
2/9/2015,"Deep Valley, Undulating Mountain"
2/10/2015,"Deep Valley, Undulating Mountain"
2/11/2015,"Deep Valley, Undulating Mountain"
2/12/2015,"Deep Valley, Undulating Mountain"
2/13/2015,"Deep Valley, Undulating Mountain"
2/14/2015,"Deep Valley, Undulating Mountain"
2/15/2015,"Deep Valley, Undulating Mountain"
2/16/2015,"Shallow valley, Steep Mountain"
2/17/2015,"Steep Mountain, Plain"
2/18/2015,"Deep Valley, Undulating Mountain"
2/19/2015,"Deep Valley, Undulating Mountain"
2/20/2015,"Deep Valley, Undulating Mountain"
2/21/2015,"Deep Valley, Undulating Mountain"
2/22/2015,"Deep Valley, Undulating Mountain"
2/23/2015,"Steep Mountain, Undulating Mountain"
2/24/2015,"Deep Valley, Undulating Mountain"
2/25/2015,"Deep Valley, Undulating Mountain"
2/26/2015,"Deep Valley, Undulating Mountain"
2/27/2015,"Deep Valley, Undulating Mountain"
2/28/2015,"Deep Valley, Undulating Mountain"
3/1/2015,"Deep Valley, Gradual Mountain"
3/2/2015,"Steep Mountain, Undulating Mountain"
3/3/2015,"Deep Valley, Undulating Mountain"
3/4/2015,Flash sale
3/5/2015,"Deep Valley, Undulating Mountain"
3/6/2015,"Deep Valley, Undulating Mountain"
3/7/2015,"Deep Valley, Undulating Mountain"
3/8/2015,"Deep Valley, Gradual Mountain"
3/9/2015,"Steep Mountain, Undulating Mountain"
3/10/2015,"Deep Valley, Undulating Mountain"
3/11/2015,"Deep Valley, Undulating Mountain"
3/12/2015,"Deep Valley, Gradual Mountain"
3/13/2015,"Deep Valley, Undulating Mountain"
3/14/2015,"Deep Valley, Undulating Mountain"
3/15/2015,"Deep Valley, Gradual Mountain"
3/16/2015,"Steep Mountain, Undulating Mountain"
3/17/2015,"Deep Valley, Undulating Mountain"
3/18/2015,"Deep Valley, Undulating Mountain"
3/19/2015,"Deep Valley, Undulating Mountain"
3/20/2015,"Deep Valley, Undulating Mountain"
3/21/2015,"Deep Valley, Undulating Mountain"
3/22/2015,"Shallow valley, Steep Mountain"
3/23/2015,"Steep Mountain, Undulating Mountain"
3/24/2015,Flash sale
3/25/2015,"Deep Valley, Undulating Mountain"
3/26/2015,"Deep Valley, Undulating Mountain"
3/27/2015,"Deep Valley, Undulating Mountain"
3/28/2015,"Deep Valley, Undulating Mountain"
3/29/2015,"Shallow Valley, Gradual Mountain"
3/30/2015,Flash sale
3/31/2015,"Deep Valley, Undulating Mountain"
4/1/2015,"Deep Valley, Undulating Mountain"
4/2/2015,"Steep Mountain, Undulating Mountain"
4/3/2015,"Deep Valley, Undulating Mountain"
4/4/2015,"Deep Valley, Undulating Mountain"
4/5/2015,"Steep Mountain, Undulating Mountain"
4/6/2015,"Deep Valley, Undulating Mountain"
4/7/2015,Flash sale
4/8/2015,"Deep Valley, Undulating Mountain"
4/9/2015,"Deep Valley, Gradual Mountain"
4/10/2015,"Deep Valley, Undulating Mountain"
4/11/2015,"Deep Valley, Undulating Mountain"
4/12/2015,"Shallow Valley, Gradual Mountain"
4/13/2015,"Deep Valley, Undulating Mountain"
4/14/2015,"Deep Valley, Gradual Mountain"
4/15/2015,Flash sale
4/16/2015,"Deep Valley, Undulating Mountain"
4/17/2015,"Deep Valley, Undulating Mountain"
4/18/2015,"Deep Valley, Undulating Mountain"
4/19/2015,"Deep Valley, Gradual Mountain"
4/20/2015,NULL
4/21/2015,Flash sale
4/22/2015,"Deep Valley, Undulating Mountain"
4/23/2015,"Deep Valley, Undulating Mountain"
4/24/2015,"Deep Valley, Undulating Mountain"
4/25/2015,"Deep Valley, Gradual Mountain"
4/26/2015,Error day
4/27/2015,"Deep Valley, Undulating Mountain"
4/28/2015,"Deep Valley, Undulating Mountain"
4/29/2015,"Deep Valley, Undulating Mountain"
